method,solver_params,pp_params_str,N,T,c,expected_res,nᵣ,objective,res_budget_μ,mean_r,median_r,min_r,max_r,mean_u,median_u,min_u,max_u,mean_nₛ,median_nₛ,min_nₛ,max_nₛ,mean_nᵣ,median_nᵣ,min_nᵣ,max_nᵣ,mean_time,median_time,min_time,max_time,mean_bytes,median_bytes,min_bytes,max_bytes,n_iterations,rng,reuse_tree,exploration_constant,depth
mcts_vanilla_depth=7_exploration_constant=3.0_n_iterations=400_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 400, :rng => Xoshiro(0x4b3fba9009c4202d, 0xb81aea83b538ef93, 0x27a462dcd29b91f0, 0x1f4278c52ab68571), :reuse_tree => true, :exploration_constant => 3.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,27.12,27.0,12.0,44.0,8.22,8.0,4,12,7.12,7.0,3,11,17.5,17.5,10,23,0.06579915983000001,0.06638322699999999,0.055382625,0.07074748,671232.0,236752.0,160384,9910416,400,"Xoshiro(0x4b3fba9009c4202d, 0xb81aea83b538ef93, 0x27a462dcd29b91f0, 0x1f4278c52ab68571)",true,3.0,7
mcts_vanilla_depth=7_exploration_constant=3.0_n_iterations=300_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 300, :rng => Xoshiro(0x5a4d29798519e2a0, 0x6ea7d98510229fc8, 0xa4ac2d8153297886, 0x51a5e078485c680a), :reuse_tree => true, :exploration_constant => 3.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,27.2,28.0,6.0,46.0,8.19,8.0,2,12,6.98,7.0,2,11,17.5,17.5,10,23,0.04978647024,0.050223138,0.039422358,0.05347641,809440.72,235024.0,161152,19445328,300,"Xoshiro(0x5a4d29798519e2a0, 0x6ea7d98510229fc8, 0xa4ac2d8153297886, 0x51a5e078485c680a)",true,3.0,7
mcts_vanilla_depth=7_exploration_constant=3.0_n_iterations=200_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 200, :rng => Xoshiro(0x606d540b3959ca0f, 0xde6dff6906294a01, 0x2208708007d70430, 0xc4c51b9758417194), :reuse_tree => true, :exploration_constant => 3.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,26.78,26.0,6.0,42.0,8.2,8.0,2,14,7.07,7.0,2,11,17.5,17.5,10,23,0.03675356298,0.035744091,0.028607501,0.062629129,605690.48,244288.0,159232,7334032,200,"Xoshiro(0x606d540b3959ca0f, 0xde6dff6906294a01, 0x2208708007d70430, 0xc4c51b9758417194)",true,3.0,7
mcts_vanilla_depth=7_exploration_constant=3.0_n_iterations=1000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 1000, :rng => Xoshiro(0xd7dca79e83626c2e, 0xfd8634c66f3699c5, 0x648d0b325947466a, 0xf98b1bc970c17a62), :reuse_tree => true, :exploration_constant => 3.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,27.8,28.0,10.0,42.0,8.36,8.0,3,12,7.18,7.0,3,11,17.5,17.5,10,23,0.16541457814000002,0.167050221,0.129447566,0.180686633,932602.0,278608.0,165760,19392912,1000,"Xoshiro(0xd7dca79e83626c2e, 0xfd8634c66f3699c5, 0x648d0b325947466a, 0xf98b1bc970c17a62)",true,3.0,7
mcts_vanilla_depth=7_exploration_constant=25.0_n_iterations=800_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 800, :rng => Xoshiro(0x0dfd8d327c7e7ea9, 0xf712e634f4a16066, 0xf57a9901a3a6aeb1, 0x4a78433cb67f4635), :reuse_tree => true, :exploration_constant => 25.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.84,30.0,10.0,44.0,8.06,8.0,3,12,6.95,7.0,3,11,17.5,17.5,10,23,0.14351633681999998,0.141805876,0.122281489,0.223436857,844839.44,256528.0,158560,19891632,800,"Xoshiro(0x0dfd8d327c7e7ea9, 0xf712e634f4a16066, 0xf57a9901a3a6aeb1, 0x4a78433cb67f4635)",true,25.0,7
mcts_vanilla_depth=7_exploration_constant=25.0_n_iterations=600_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 600, :rng => Xoshiro(0x20a5f85c50ae567b, 0x9907c56ee79ea948, 0xe74b4bf7d95630fc, 0xe058abbf09fb46dc), :reuse_tree => true, :exploration_constant => 25.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.44,28.0,6.0,44.0,8.03,8.0,2,14,6.97,7.0,2,11,17.5,17.5,10,23,0.10591382741999998,0.106258992,0.086501511,0.142079549,821435.6,251536.0,158848,19510128,600,"Xoshiro(0x20a5f85c50ae567b, 0x9907c56ee79ea948, 0xe74b4bf7d95630fc, 0xe058abbf09fb46dc)",true,25.0,7
mcts_vanilla_depth=7_exploration_constant=25.0_n_iterations=400_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 400, :rng => Xoshiro(0xcefa88c140f80277, 0x153a9b0789e9d613, 0xd1d1a85ffcf9504f, 0xae4b26751c3b555c), :reuse_tree => true, :exploration_constant => 25.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,27.76,28.0,12.0,44.0,8.23,8.0,3,12,7.11,7.0,3,11,17.5,17.5,10,23,0.07219680495,0.0716029655,0.057762111,0.146664189,878503.52,261280.0,158944,19914768,400,"Xoshiro(0xcefa88c140f80277, 0x153a9b0789e9d613, 0xd1d1a85ffcf9504f, 0xae4b26751c3b555c)",true,25.0,7
mcts_vanilla_depth=7_exploration_constant=25.0_n_iterations=2000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 2000, :rng => Xoshiro(0x28114f6d18350ab6, 0x291db1804bc13d1b, 0xf64bcb567baddc33, 0xdcd00f1e087b9b71), :reuse_tree => true, :exploration_constant => 25.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.4,28.0,10.0,44.0,7.7,8.0,3,11,6.72,7.0,3,10,17.5,17.5,10,23,0.35935950057,0.3605335335,0.290279868,0.427346177,1.02989248e6,261040.0,162880,20730672,2000,"Xoshiro(0x28114f6d18350ab6, 0x291db1804bc13d1b, 0xf64bcb567baddc33, 0xdcd00f1e087b9b71)",true,25.0,7
mcts_vanilla_depth=7_exploration_constant=25.0_n_iterations=1500_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 1500, :rng => Xoshiro(0xa59962780efb3ed9, 0x7ef21e02e38ba73d, 0xe1ee481057180230, 0xa5df051e4fa8a833), :reuse_tree => true, :exploration_constant => 25.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.76,30.0,10.0,46.0,7.9,8.0,3,12,6.83,7.0,3,10,17.5,17.5,10,23,0.26999971927,0.268298787,0.224491287,0.324921162,996329.2,264784.0,162304,19483632,1500,"Xoshiro(0xa59962780efb3ed9, 0x7ef21e02e38ba73d, 0xe1ee481057180230, 0xa5df051e4fa8a833)",true,25.0,7
mcts_vanilla_depth=7_exploration_constant=25.0_n_iterations=1000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 1000, :rng => Xoshiro(0x21988be3196646b2, 0x933c6ce94d5399fb, 0x376fc9cfda0b20c9, 0x9c4257076650b2f1), :reuse_tree => true, :exploration_constant => 25.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.18,28.0,12.0,44.0,8.03,8.0,3,12,6.93,7.0,3,10,17.5,17.5,10,23,0.18533758870000003,0.186103489,0.149926423,0.243653474,919079.44,256000.0,162880,19394160,1000,"Xoshiro(0x21988be3196646b2, 0x933c6ce94d5399fb, 0x376fc9cfda0b20c9, 0x9c4257076650b2f1)",true,25.0,7
mcts_vanilla_depth=7_exploration_constant=15.0_n_iterations=800_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 800, :rng => Xoshiro(0x8b5a0e8fb822bea4, 0x962e8ca49acd884a, 0x7e3d761312da8fda, 0xa104114ae971216d), :reuse_tree => true, :exploration_constant => 15.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.1,28.0,10.0,46.0,7.94,8.0,3,12,6.91,7.0,3,11,17.5,17.5,10,23,0.14180134241,0.1416176545,0.117875911,0.187845129,844267.28,256624.0,163264,19950000,800,"Xoshiro(0x8b5a0e8fb822bea4, 0x962e8ca49acd884a, 0x7e3d761312da8fda, 0xa104114ae971216d)",true,15.0,7
mcts_vanilla_depth=7_exploration_constant=15.0_n_iterations=600_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 600, :rng => Xoshiro(0x4b50479664b09e69, 0xaa9f3c615012a4e4, 0x29eee774aebb1a56, 0xb12c7f9bb2c2d802), :reuse_tree => true, :exploration_constant => 15.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.12,30.0,12.0,46.0,8.06,8.0,3,13,6.99,7.0,3,10,17.5,17.5,10,23,0.10809274080000002,0.1078827275,0.090182591,0.140522086,820994.0,252784.0,159808,19510512,600,"Xoshiro(0x4b50479664b09e69, 0xaa9f3c615012a4e4, 0x29eee774aebb1a56, 0xb12c7f9bb2c2d802)",true,15.0,7
mcts_vanilla_depth=7_exploration_constant=15.0_n_iterations=400_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 400, :rng => Xoshiro(0xb29067a1d792cd62, 0x939b9ba0896099f9, 0x8d4f657049226d6d, 0xf91c61d4971a69d8), :reuse_tree => true, :exploration_constant => 15.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.08,28.0,10.0,46.0,8.03,8.0,3,12,6.98,7.0,3,10,17.5,17.5,10,23,0.07146200516000001,0.0719768465,0.058810968,0.106035552,877621.28,244864.0,159136,19918800,400,"Xoshiro(0xb29067a1d792cd62, 0x939b9ba0896099f9, 0x8d4f657049226d6d, 0xf91c61d4971a69d8)",true,15.0,7
mcts_vanilla_depth=7_exploration_constant=15.0_n_iterations=2000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 2000, :rng => Xoshiro(0x9dac85ca88be801b, 0x26865306ef496cea, 0xd7e8485351f9c2bd, 0x00d3b266bb0ef27e), :reuse_tree => true, :exploration_constant => 15.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.64,29.0,12.0,44.0,7.82,8.0,3,12,6.85,7.0,3,10,17.5,17.5,10,23,0.35826134634,0.355561586,0.298869863,0.430003473,1.01893792e6,258592.0,163648,20750448,2000,"Xoshiro(0x9dac85ca88be801b, 0x26865306ef496cea, 0xd7e8485351f9c2bd, 0x00d3b266bb0ef27e)",true,15.0,7
mcts_vanilla_depth=7_exploration_constant=15.0_n_iterations=1500_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 1500, :rng => Xoshiro(0x413db0c955ee1e2d, 0xb392ea78a5b54e6a, 0x55253d031d98bc00, 0xb5f9949965dd76b2), :reuse_tree => true, :exploration_constant => 15.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.26,28.0,12.0,46.0,7.78,8.0,4,12,6.8,7.0,3,11,17.5,17.5,10,23,0.26947493296,0.26915803699999996,0.220209332,0.329771995,843155.68,261808.0,162784,19312464,1500,"Xoshiro(0x413db0c955ee1e2d, 0xb392ea78a5b54e6a, 0x55253d031d98bc00, 0xb5f9949965dd76b2)",true,15.0,7
mcts_vanilla_depth=7_exploration_constant=15.0_n_iterations=1000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 1000, :rng => Xoshiro(0x99d1567f91712865, 0x30e25bcaacdae615, 0x8040fb448a38fd66, 0xe154b820913a8758), :reuse_tree => true, :exploration_constant => 15.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.14,28.0,10.0,46.0,7.87,8.0,3,13,6.85,7.0,3,11,17.5,17.5,10,23,0.18741313596,0.1860729935,0.1523098,0.252324736,905770.0,253504.0,161920,19317456,1000,"Xoshiro(0x99d1567f91712865, 0x30e25bcaacdae615, 0x8040fb448a38fd66, 0xe154b820913a8758)",true,15.0,7
mcts_vanilla_depth=7_exploration_constant=10.0_n_iterations=800_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 800, :rng => Xoshiro(0x523fea57ab2fe6d7, 0xde17ae2da54a19e0, 0xfb7b1fb7a3db97f2, 0x5b95d5561e54e581), :reuse_tree => true, :exploration_constant => 10.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.8,28.0,10.0,46.0,7.92,8.0,3,12,6.94,7.0,3,11,17.5,17.5,10,23,0.13429487573,0.13604974749999998,0.115885646,0.144127863,831943.76,254032.0,163648,19329360,800,"Xoshiro(0x523fea57ab2fe6d7, 0xde17ae2da54a19e0, 0xfb7b1fb7a3db97f2, 0x5b95d5561e54e581)",true,10.0,7
mcts_vanilla_depth=7_exploration_constant=10.0_n_iterations=600_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 600, :rng => Xoshiro(0xd4ac1f55d5439485, 0xb4d174c5a4a26626, 0x1fc80488d50dec8e, 0x12b0667987e46a34), :reuse_tree => true, :exploration_constant => 10.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.78,28.0,8.0,44.0,7.93,8.0,3,13,6.89,7.0,3,11,17.5,17.5,10,23,0.10099837785999999,0.10250580549999999,0.087088002,0.108263385,811421.84,252640.0,159424,19937040,600,"Xoshiro(0xd4ac1f55d5439485, 0xb4d174c5a4a26626, 0x1fc80488d50dec8e, 0x12b0667987e46a34)",true,10.0,7
mcts_vanilla_depth=7_exploration_constant=10.0_n_iterations=50_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 50, :rng => Xoshiro(0x0a1764d88fa530ee, 0x1a533cb2fddd732e, 0xa0e72287bbd88de9, 0x8d581a2b3f222a76), :reuse_tree => true, :exploration_constant => 10.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,23.36,22.0,8.0,40.0,7.77,7.5,4,12,6.59,6.0,4,10,17.5,17.5,10,23,0.00808837724,0.0081366095,0.005961238,0.008979913,446314.0,226528.0,155104,4994064,50,"Xoshiro(0x0a1764d88fa530ee, 0x1a533cb2fddd732e, 0xa0e72287bbd88de9, 0x8d581a2b3f222a76)",true,10.0,7
